1, junk, ., +, t, /, 1, (, i, Y, d
2, junk, 2, ., z, -, n, r, x, a, 0
3, junk, ., c, 0, 1, \ldots, COMMA, =, \sqrt, \tan
4, junk, n, ., m, \Delta, M, N, c, \mu, R
5, +, t, junk, 1, k, r, ., h, L, x
6, junk, +, t, j, ., 7, 1, g, 5, f
7, junk, ., \alpha, c, -, a, N, \tan, 1, x
8, junk, ., c, o, 0, a, ), C, G, \cos
9, junk, z, ., 7, y, 2, 3, COMMA, \gamma, x
10, junk, COMMA, -, ., (, u, 0, 1, \prime, +
11, junk, -, ., T, =, 0, \rightarrow, (, COMMA, \ldots
12, junk, ., -, 0, 1, t, \prime, COMMA, 7, T
13, junk, ., a, 0, 1, -, COMMA, \forall, +, \prime
14, junk, ., \prime, 0, COMMA, 1, -, +, /, h
15, junk, +, 1, n, ., -, T, t, \prime, s
16, 1, junk, l, ., 2, 3, z, x, t, I
17, t, junk, z, \pm, COMMA, ., k, I, 2, E
18, junk, ., x, L, +, 1, 2, T, z, i
19, junk, ., a, 2, -, r, +, 1, 0, COMMA
20, 1, junk, n, x, d, /, r, ., \prime, +
21, junk, p, ., o, \mu, x, 1, \alpha, \sigma, -
22, junk, ., COMMA, -, C, G, =, 1, 0, 6
23, junk, ., n, -, \sigma, 2, (, 0, +, \sin
24, junk, ., 1, +, x, c, COMMA, r, t, /
25, junk, \sin, ., +, d, T, v, COMMA, t, \tan
26, junk, x, \mu, ., r, m, u, 1, n, /
27, -, junk, ., =, t, u, v, i, o, COMMA
28, junk, H, ., 1, +, n, l, -, r, 6
29, junk, ., -, COMMA, (, L, Y, \alpha, \sin, /
30, junk, ., \prime, -, COMMA, 0, t, e, 1, +
31, junk, ., -, t, 1, COMMA, 0, \ldots, l, \prime
32, junk, ., +, -, \neq, \rightarrow, 7, 2, 1, x
33, junk, k, 1, -, 2, \tan, COMMA, l, x, .
34, -, junk, =, ., T, \ldots, i, \div, COMMA, t
35, junk, ., 0, COMMA, \prime, -, 1, /, s, \ldots
36, -, junk, ., =, T, t, i, COMMA, \div, \ldots
37, -, junk, ., =, \ldots, 2, COMMA, \div, T, m
38, junk, -, ., f, 1, +, t, \neq, p, \rightarrow
39, junk, A, ., H, r, n, N, \mu, \Delta, d
40, junk, 2, 3, T, a, ., =, -, x, z
41, junk, ., -, +, \cos, \div, c, \rightarrow, \ldots, 2
42, junk, \ldots, ., \sin, -, =, \rightarrow, 0, \div, 2
43, junk, 4, ., \tan, +, -, \div, \ldots, c, COMMA
44, junk, o, ., \alpha, 0, c, 2, a, \mu, \in
45, junk, ., \prime, +, 1, ), (, COMMA, l, 2
46, junk, 1, |, COMMA, \prime, l, ., /, (, +
47, junk, COMMA, ., -, 1, \prime, p, \log, \beta, a
48, junk, 4, H, ., c, x, a, 1, \gamma, A
49, 2, junk, \div, n, z, a, l, ., c, r
50, junk, 1, |, COMMA, \prime, l, ., (, /, \{
51, junk, e, H, ., 6, k, 0, a, x, o
52, junk, M, ., a, A, x, \alpha, +, \Delta, \mu
53, junk, +, t, ., 1, \rightarrow, -, (, l, 7
54, junk, H, M, ., 6, n, \mu, \sin, l, 1
55, junk, H, 0, n, 6, o, l, ., c, x
56, junk, t, +, r, 1, l, f, F, \}, .
57, junk, \leq, 1, =, x, z, \tan, ., -, a
58, junk, \sin, ., x, a, +, \div, \tan, c, C
59, =, junk, \div, ., 0, 1, -, +, I, s
60, junk, ., o, L, -, r, \mu, \tan, 2, x
61, junk, ., -, x, a, COMMA, o, \sin, 2, \alpha
62, junk, 6, ., +, c, x, COMMA, 1, \div, (
63, junk, \sin, \tan, ., \prime, \infty, a, T, +, COMMA
64, junk, ., a, \tan, x, \sin, \prime, \lim, n, \times
65, junk, 1, |, COMMA, l, \prime, \{, (, ., +
66, junk, 3, ., -, 1, =, COMMA, 0, 5, 2
67, junk, ., (, r, v, \sin, \sigma, -, COMMA, +
68, junk, ., \prime, +, 1, \tan, i, ), COMMA, -
69, junk, COMMA, /, ., x, -, (, \times, 1, r
70, junk, ., \tan, \alpha, -, x, (, \prime, \lim, n
71, junk, n, v, o, ., x, \mu, a, u, 0
72, 1, junk, +, \prime, ., T, -, 7, i, l
73, junk, \lambda, ., 1, \rightarrow, COMMA, ), +, i, t
74, -, junk, =, ., T, \ldots, COMMA, i, 2, t
75, -, junk, ., =, T, t, i, COMMA, \div, \ldots
76, junk, \div, C, COMMA, -, ., c, 0, 3, \geq
77, junk, ., \alpha, 0, COMMA, r, 1, o, a, L
78, junk, 1, l, z, +, \leq, r, ., A, n
79, junk, ., 0, -, T, COMMA, 1, \prime, \ldots, (
80, junk, -, ., +, 2, \neq, t, p, \div, a
81, junk, -, ., =, m, a, \tan, \cos, n, 1
82, junk, a, 2, ., z, -, +, \alpha, 1, x
83, junk, ., o, 0, -, (, \int, \ldots, +, C
84, -, junk, ., t, =, u, v, i, o, T
85, junk, +, ., x, b, COMMA, 3, \prime, r, d
86, junk, ), \prime, 1, ., +, COMMA, i, 7, T
87, =, junk, -, z, \tan, 2, ., a, x, 1
88, junk, 1, |, COMMA, \prime, l, \{, (, +, .
89, junk, a, ., o, 0, 1, -, +, \infty, \lambda
90, junk, ., c, g, \tan, o, E, \pi, 1, \alpha
91, 3, junk, -, 7, 9, \prime, COMMA, x, 2, y
92, junk, -, ., +, 1, \tan, i, m, \cos, x
93, junk, =, ., \div, 1, L, 0, C, c, COMMA
94, junk, \sin, ., 0, +, k, x, \cos, 1, -
95, 3, junk, B, 5, -, n, x, COMMA, 2, a
96, junk, T, F, 5, ., \pi, z, 2, 0, I
97, junk, ., \prime, 0, 1, 4, COMMA, 2, 7, (
98, junk, c, 1, C, ., k, x, H, 0, COMMA
99, junk, ., c, 1, C, l, x, k, \alpha, 0
100, junk, 1, |, COMMA, \prime, l, +, (, ., \{
101, junk, +, 1, \prime, ., -, n, 7, T, p
102, -, junk, =, ., T, \ldots, COMMA, i, 2, \div
103, junk, t, ., 0, H, \sin, 5, -, 2, \rightarrow
104, junk, ., 0, c, ), N, o, x, COMMA, \div
105, +, junk, t, r, p, ., f, 9, \pm, 1
106, junk, 1, |, COMMA, (, \prime, l, \{, /, .
107, junk, n, ., H, 1, \lambda, A, a, -, \Delta
108, junk, -, \ldots, ., n, \sin, \tan, u, COMMA, =
109, -, junk, =, ., \ldots, T, COMMA, i, 2, m
110, junk, 1, |, COMMA, l, \prime, ., (, \{, )
111, -, junk, =, ., T, \ldots, i, COMMA, 2, \div
112, =, junk, ., -, 0, c, a, 2, x, C
113, +, junk, \neq, T, z, 1, ., -, \phi, 7
114, junk, ., +, -, e, r, 1, COMMA, c, x
115, -, junk, ., =, COMMA, i, T, m, r, 0
116, junk, \sin, -, ., o, 0, \tan, a, =, COMMA
117, junk, ., +, 0, COMMA, 1, r, -, \prime, T
118, COMMA, junk, 1, /, ., \prime, \div, l, |, )
119, junk, \tan, ., \ldots, \sin, 0, (, n, -, \prime
120, junk, ., -, COMMA, T, 1, t, n, =, r
121, t, junk, T, \tan, k, i, +, ., c, C
122, junk, +, ., 1, a, \ldots, N, 0, 4, COMMA
123, \sin, \lim, junk, \tan, ., -, \rightarrow, L, a, x
124, junk, \tan, m, \sin, -, ., +, a, \div, \cos
125, 0, junk, o, u, ., \mu, e, V, v, a
126, junk, 1, ., COMMA, g, 9, E, H, a, x
127, junk, ., +, -, COMMA, \div, \rightarrow, \infty, a, 0
128, \tan, t, junk, k, ., -, c, +, i, C
129, \sin, junk, ., x, \times, +, M, a, 0, n
130, junk, c, 0, ., a, \log, \tan, 1, G, 2
131, junk, ., \tan, 1, \prime, 0, c, COMMA, /, C
132, junk, ., \tan, \sin, 0, a, c, E, \ldots, -
133, \tan, junk, \sin, ., \lim, c, 0, a, 1, \log
