Ink and all Parameter Files from Command Line
Database loading...

 	\leq	\}	\alpha	!	+	(	)	.	/	,	-	3	2	\{	1	\in	0	7	6	5	4	\geq	9	8	\forall	=	\phi	E	F	G	A	B	C	\infty	\Delta	L	M	N	H	I	\log	\lt	T	V	P	S	R	]	Y	\sigma	X	[	f	g	d	\prime	e	b	c	a	n	\neq	o	l	m	j	k	h	i	\tan	w	v	u	t	s	r	q	p	\gamma	|	z	\ldots	y	x	\sqrt	\lim	\lambda	\sin	\exists	\mu	\cos	\theta	\sum	\times	\div	\rightarrow	\pm	\gt	\pi	\int	\beta	junk
\leq	89.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.455	89.09%	0.1376%
\}	0	41.18	0	0	0	0	5.882	0	0	0	0	29.41	0	5.882	5.882	0	0	0	0	0	11.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.18%	0.04252%
\alpha	0	0	89.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.053	0	0	0	0	0	0	0	0	0	0	0	0	1.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.316	89.47%	0.2376%
!	0	0	0	87.5	0	4.167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.333	87.5%	0.06003%
+	0	0	0.07396	0	90.9	0	0.07396	0	0	0	0	0	0	0	0.1479	0	0	0.1479	0.1479	0.07396	0.07396	0.07396	0.07396	0.07396	0	0	0	0	0	0	0.07396	0	0	0.1479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07396	0	0.2219	0	0	0	0	0	0	0	0	0	0	0	0.5178	0	0	0	0.2219	0	0	0	0	0.4438	0.8136	0	0	0	0	0	0	0	0	0	0.5917	0	0	0	0	0.2219	0	0	4.808	90.9%	3.382%
(	0	0	0	0	0	95.84	0	0.1014	0	0	0	0	0	0	0.9128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5071	0	0	0	0	0	0	0.1014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.434	95.84%	2.466%
)	0	0	0	0	0	0	97.05	0	0	0.1016	0	0	0	0	0.6098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1016	0	0	0.1016	0	0	0	0	0	0	0	0	0	0	0	0	0.1016	0	0	0	0	0	1.728	97.05%	2.461%
.	0	0	0.5682	0	0	0	1.705	25	0.5682	3.977	4.545	1.705	1.136	0	2.841	0	0	0	0.5682	0	0	0.5682	0	0	0	0	0	0	0	0	0	0.5682	0	1.136	0.5682	1.705	0	0	0	0	1.136	0	0	0	0.5682	0	0.5682	0	0	0.5682	0	0	0	0	0.5682	0	0	0	1.136	0	1.136	0	0	0	1.136	0	0	0	0.5682	0	0.5682	2.273	0	0.5682	0	0	0.5682	1.705	0	0	0	0	0.5682	0	0.5682	0	0	0	0	0	0.5682	0	0	0	0	0	0	0	0	0	1.136	36.93	25%	0.4402%
/	0	0	0	0	0	0	0	0	8.163	32.65	0	0	0	0	2.041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.14	8.163%	0.1226%
,	0	0	0	0	0	0.6452	18.06	0	0.6452	47.1	0	0	0	0	9.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6452	0	0.6452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6452	22.58	47.1%	0.3877%
-	0	0	0	0	0	0	0	1.411	0	0	82.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1008	0	0	0	0	0	0	0	0.8564	0.05038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05038	0	0.3023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.36	82.87%	4.965%
3	0	0	0	0	0	0	0	0	0	0	0	98.05	0.1629	0	0	0	0	0	0	0.8143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8143	98.05%	1.536%
2	0	0	0.0646	0	0	0	0	0.1938	0	0	0	0	93.67	0	0.5168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1938	0	0.0646	0.0646	0	0	0	0	0	0.1292	0.0646	0	0	0	0	0	0	0	0	0	0	0.0646	0	2.003	0	0	0	0	0	0	0	0	0	0	0	0.0646	0	0	0	0	0	0.0646	0	0	2.778	93.67%	3.872%
\{	0	0	0	0	0	5.882	0	0	0	0	0	0	0	82.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.882	0	0	0	0	0	0	0	0	0	82.35%	0.04252%
1	0	0	0	0	0	0.5148	2.188	0.06435	0	0.3861	0	0	0.06435	0	78.96	0	0	0.06435	0.06435	0	0.1287	0.3861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06435	0	0	0.1287	0	0.2574	0.06435	0	0.06435	0	0	0.06435	0	0	0.06435	0.06435	0	0	0	0	0.1287	0	0.1931	0	0	0.06435	0	1.995	0.06435	0	0	0	0	0	0	0	0	0	0	0	0	0.06435	0	0	0.06435	0	0	0.06435	0	13.77	78.96%	3.887%
\in	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.67%	0.007504%
0	0	0	0	0	0	0	0.2232	0.4464	0	0	0	0	0	0	0	0	88.17	0.4464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2232	0	0	0	0	0	0	0	0	0	0	0	0	1.339	0	0	0	0	0	0	0	0	0	0.2232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2232	0	0	0	0	0	0	0	0	0	0	8.482	88.17%	1.121%
7	0	0	0	0	1.07	0	0	0	0	0	0	0	0	0	0.5348	0	0	92.51	0	0	0	0.5348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.674	92.51%	0.4677%
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5051	0	98.48	0.5051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5051	98.48%	0.4952%
5	0	0	0	0	0	0	0.4	0	0	0	0	0.4	0	0	0.4	0	0	0	0	84	0.4	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.8	84%	0.6253%
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2451	0.2451	0	0	0	0.2451	0	87.99	0	0.4902	0	0	0	0	0	0	0	0	0	0	0.2451	0	0	0	0	0.2451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4902	0	0	0	0	0	0	0.2451	0.7353	0	0	0	0	2.451	0	0	0	0	0	0	0	0	0	0.4902	0.4902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2451	0	0	5.147	87.99%	1.021%
\geq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.778	0	0	0	91.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.556	91.67%	0.09005%
9	0	0	0	0	0	0	0	0	0	4.396	0	0	0	0	0	0	0	0	0	0.5495	0	0	79.67	0.5495	0	0	0	0	0	0	0	0	0	0.5495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.099	0	0.5495	0	0	0	0	0	1.648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.396	79.67%	0.4552%
8	0	0	0	0	0	0	0	0	0	0	0	0	0.5495	0	0	0	1.099	0	0.5495	0	0	0	0	80.77	0	0	0	0	0	0	0	0	0	2.198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5495	0.5495	4.945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5495	0	0	0	2.198	0	1.099	1.099	0	0	0	1.099	0	0.5495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5495	1.648	80.77%	0.4552%
